Nom,Propriétaire,Adresse,Code postal,Ville,Type
Boutique Souvenirs Gomes,Augustin Coulon,"15, avenue Paris",26879,Verdier,Souvenirs
Fast Salmon,Patrick Ledoux,boulevard Gay,81539,Gilbertdan,Restauration rapide
Marché Jacob,Alfred Joubert,"60, rue de Moreau",86104,Jean,Supermarché
Express Lemonnier,Marcelle Dumont,boulevard Jacqueline Schneider,21166,Sainte Stéphane,Restauration rapide
Boutique Souvenirs Pineau,Maggie du Torres,"67, rue Antoine",3333,Petitjean,Souvenirs
Souvenirs Payet,Alain de la Denis,"7, chemin de Pires",68738,Saint Margaud,Souvenirs
Supermarché Nicolas,André Blot,avenue Alex Denis,70358,Boutin-les-Bains,Supermarché
Pharmacie Leclerc,Henri De Oliveira,"9, boulevard Julie Bonnin",18528,Saint RolandBourg,Pharmacie
Fast Gautier,Élodie Raynaud,"48, avenue Théodore Renard",6661,Guillaumedan,Restauration rapide
Librairie Rémy,Adrien Richard-Leconte,boulevard Laroche,63252,Saint MoniqueBourg,Librairie
L'Atelier Boucher,Michel Collet-Aubry,"2, rue Charpentier",46920,Launay,Autre
Pâtisserie Rousset,Benoît Thierry,rue Dupré,82274,Pelletier,Patisserie
Digital Navarro,Juliette Peron de Guichard,"71, avenue Richard Collin",88971,De Oliveira-les-Bains,Electronique
Multimédia Marie,Antoine Leroux,boulevard Christine Colas,86548,Bourdon,Electronique
La Page Gillet,Alix Pottier,"87, avenue Besnard",6164,Bègue,Librairie
Épicerie Bouvier,Yves Hardy,"693, boulevard de Lagarde",89733,Sainte Margaud-sur-Mer,Supermarché
Boutique Souvenirs Leduc,Nathalie Gérard,"300, avenue de Costa",21176,Lebrun-sur-Mer,Souvenirs
Electro Rémy,André-Philippe Hubert,"46, avenue Hebert",73558,Sainte Carolineboeuf,Electronique
TechShop Lemaire,Agnès Henry,"90, rue de Robin",77733,Grégoire,Electronique
Librairie Guilbert,Victor du Leblanc,"4, chemin Gabrielle Gosselin",79714,Augerboeuf,Librairie
Cadeaux Auger,Céline Pereira,"60, chemin Emmanuelle Barbe",47818,Saint Jacquesdan,Souvenirs
Chez Joly,Catherine Adam,"23, rue Céline Aubert",91446,Sainte BenjaminBourg,Restaurant
Pâtisserie Leleu,Suzanne Delmas,"127, rue de Lenoir",55958,Guillet-sur-Grégoire,Patisserie
Pâtisserie Valette,Stéphane Giraud,"71, boulevard de Seguin",41616,Humbert-sur-Mer,Patisserie
Cadeaux Paris,Marianne Cousin,"72, boulevard de Ribeiro",89660,Mendès,Souvenirs
Librairie Gallet,Gabrielle Bourgeois-Lacroix,"35, rue de Gaudin",69810,Lacombe,Librairie
Express Ferreira,Valentine Guillon,"58, rue Dorothée Gautier",4490,Vincent,Restauration rapide
Snack Leconte,Eugène Da Costa,"34, chemin Martins",97179,Sainte Sylvie,Restauration rapide
Pharmacie Sauvage,Thibault Parent,"738, boulevard Grenier",36809,Sainte Amélie,Pharmacie
Chez Delattre,Anastasie Richard,"83, chemin Faivre",75659,Pierre-sur-Diallo,Autre
Supermarché Pages,William du Schmitt,"3, boulevard Mathieu",48141,Lopes-la-Forêt,Supermarché
La Table Dumont,Stéphane Adam,avenue Mathilde Meyer,6257,Godard,Restaurant
Épicerie Roux,Madeleine Marin Le Legrand,"48, boulevard Mercier",97674,Legros,Supermarché
Multimédia Devaux,Océane Morin-Lévêque,"65, chemin Martin Chrétien",79643,GuilbertVille,Electronique
TechShop Noël,Sophie Guillot,"193, chemin de Weber",15495,Gimenez,Electronique
Pharmacie Ramos,Alexandre Blondel Le Buisson,"17, rue Tristan Buisson",11198,Leleu,Pharmacie
Marché Tanguy,Adèle Toussaint-François,"26, boulevard Boutin",94893,JourdanBourg,Supermarché
Boutique Souvenirs Letellier,Alexandre Jacques,"20, rue Colin",32671,Saint Raymondnec,Souvenirs
Pâtisserie Chevallier,Océane Lesage,"7, rue de Joubert",1756,Andre-sur-Boulay,Patisserie
Boutique Souvenirs Vallet,Amélie-Arnaude Pelletier,"5, chemin de Seguin",12388,Webernec,Souvenirs
Aux Délices Peltier,Noël Barbier,"72, chemin de Couturier",19405,Dubois,Patisserie
La Table Lenoir,Claire Denis-Dupont,boulevard de Carlier,68660,Sainte Marcboeuf,Restaurant
Chez Lecomte,Claire Renard,"59, rue Arnaud",85918,Vincent-sur-Hamel,Autre
Fast Dias,Arnaude Charpentier,"5, rue Pages",74598,Hamon,Restauration rapide
Supermarché Rodriguez,Benoît Jacquet-Legendre,chemin Vallée,57436,Delmas-sur-Schneider,Supermarché
Le Kiosque Lemonnier,Colette-Mathilde Gomes,"60, rue Mendès",94756,Baronboeuf,Restauration rapide
Le Kiosque Lucas,Valentine Pinto,"84, rue de Roger",82721,Sainte Valérie-les-Bains,Restauration rapide
Cadeaux Tanguy,Gilles de Petitjean,boulevard Lefort,4932,Delorme-sur-Lebon,Souvenirs
Espace Lecoq,Frédérique-Alex Courtois,"387, avenue Maurice Leleu",75850,Lucas,Autre
Pâtisserie Barthelemy,Dominique de Chauvin,"303, rue de Cohen",20283,Moreno-sur-Delmas,Patisserie
Aux Délices Rodrigues,Martine Fournier,"23, chemin Nicolas Dupont",85311,Alvesnec,Patisserie
Épicerie Lelièvre,Amélie Fournier,"91, chemin de Traore",33692,Colas-les-Bains,Supermarché
Aux Délices Mallet,Mathilde Coste,"9, avenue Maurice Blondel",51461,Coulon,Patisserie
Marché Leduc,Adèle Charrier de la Besnard,"91, chemin de Lecomte",20291,Étienne,Supermarché
Boutique Marion,Vincent Rolland,"81, avenue de Voisin",26704,Jourdan,Autre
Souvenirs Bouchet,Gérard Bertrand,"392, boulevard de Fournier",73250,Saint Raymond,Souvenirs
Le Bistrot Arnaud,Océane de Fouquet,"41, boulevard Charlotte Leduc",21324,Brunel-les-Bains,Restaurant
Cadeaux Guillon,Thierry Delmas,"62, boulevard Jeanne Muller",29487,PayetBourg,Souvenirs
Express Durand,Raymond du Gérard,"3, boulevard Joséphine Morel",97678,ChrétienBourg,Restauration rapide
Pharmacie Morin,Christelle Marion,"7, avenue de Lemaître",6814,Gilbert-sur-Mer,Pharmacie
La Table Leduc,Marine Pruvost,"316, avenue Pauline Rey",11390,Devaux-sur-Lejeune,Restaurant
Express Boucher,Adrien de Verdier,"9, avenue Bègue",26804,Lejeune,Restauration rapide
Boutique Souvenirs Étienne,Denis Launay,"944, boulevard Aimée Raymond",35796,Faivre-sur-Mer,Souvenirs
Souvenirs Pasquier,Valérie Colin-Lemaître,"574, chemin de Becker",90507,Delmas,Souvenirs
La Page Lemaire,Maurice Bonnin-Renard,boulevard Maréchal,97653,BonneauVille,Librairie
Snack Renard,Adèle Robin,"79, rue Charles",28479,Saint Moniquenec,Restauration rapide
Pharmacie Maréchal,Louise Mendès de Becker,"17, boulevard Renault",24134,Gros-sur-Blondel,Pharmacie
Douceurs Rocher,Thibault Roy-Parent,rue Marcelle Martin,20188,Valette,Patisserie
Marché Alexandre,Nicole Lebon,"18, rue de Robin",70391,Guillonboeuf,Supermarché
Pharmacie Perrot,Frédéric-Thibaut Leclercq,"19, rue Anouk Guillou",14672,Sainte ZacharieBourg,Pharmacie
La Page Blanchet,René-Sébastien Deschamps,"86, chemin Diallo",58797,CosteVille,Librairie
Souvenirs Leduc,Gilles Mercier,"63, chemin Diane Regnier",2817,Menard,Souvenirs
Fast Hervé,Luc Maillet,"91, avenue Bouvier",45323,Royer-sur-Vidal,Restauration rapide
Souvenirs Letellier,Paul de la Huet,"44, rue Menard",79464,Merle,Souvenirs
Pharmacie Gautier,Augustin Labbé,"19, rue de Leduc",47735,Teixeira,Pharmacie
Souvenirs Bruneau,Patrick-Éric Salmon,"46, rue de Vincent",67918,MartelVille,Souvenirs
Espace Gaudin,Nathalie Torres,"91, chemin Marie Petit",2790,Gillet,Autre
Cadeaux Blin,Isaac Étienne,"92, rue René Georges",78451,Gonzalez,Souvenirs
Multimédia Didier,Françoise Humbert,"75, avenue Jules Masse",17689,Roussel,Electronique
Librairie Mace,Georges-Roger Lesage,"32, rue Joseph De Oliveira",63237,Joubertboeuf,Librairie
Boutique Souvenirs Coulon,Gilbert Guilbert de Chauvin,rue de Lopez,27933,Ollivier,Souvenirs
Marché Lombard,Maurice Vallet,"65, boulevard de Boucher",44120,Rivièreboeuf,Supermarché
Fast Potier,Élodie Verdier de la Valette,"95, avenue Édouard Weber",78393,Lefort-les-Bains,Restauration rapide
Le Comptoir Brun,Paulette Lefort,"261, chemin Dumas",40424,Lacombe,Autre
Supermarché Da Costa,Nicole Dupuy du Valette,"787, rue Simon",17845,Peltier,Supermarché
Le Livre Deschamps,François Brun,"2, avenue Lévy",7126,HardyBourg,Librairie
Supermarché Duval,Thierry-Denis Clément,"44, chemin Pichon",80229,Laine,Supermarché
L'Atelier Picard,Alfred Dupré,"87, chemin de Lévy",56238,Schmittdan,Autre
TechShop Lefort,Renée-Marcelle Perrot,"831, chemin Antoinette Bertin",20410,Saint Dorothée,Electronique
La Page Thierry,Jérôme Renault,"807, rue Pauline Perret",37711,Robert,Librairie
Le Livre Lévy,Élisabeth Bouchet,"46, avenue Hoareau",28369,Sainte Lorraine-sur-Mer,Librairie
Aux Délices Blondel,Laetitia Jacquet Le Pasquier,"3, chemin Masson",81566,Sauvage-sur-Maillard,Patisserie
Marché Bonnin,Victoire Roche Le Moreau,"9, rue Henry",36375,Auger,Supermarché
Cadeaux Navarro,Gabriel Robin,"8, chemin De Oliveira",39904,Guicharddan,Souvenirs
La Table Grenier,Jacques Faure,"5, rue Émilie Lelièvre",23296,Weber,Restaurant
Espace Richard,Gérard Collin,"40, rue Dorothée Chartier",26584,Bazin-la-Forêt,Autre
La Page Breton,Thomas Petitjean,boulevard de Dijoux,16359,Diaz-la-Forêt,Librairie
L'Atelier Sucré Philippe,Anastasie Martineau,"4, avenue de Germain",2271,Mary,Patisserie
La Page Mathieu,Jacqueline Petit,avenue de Lagarde,76258,Pires,Librairie
Douceurs Blanc,Édouard Didier-Robin,"150, rue Martine Regnier",14228,Reyboeuf,Patisserie
Pharmacie Pascal,Sabine Peron,"7, rue Philippe Fournier",62823,Vaillant-la-Forêt,Pharmacie
Electro Allard,Élisabeth Duhamel,"855, boulevard Françoise Renard",9643,Lebreton,Electronique
Chez Collet,Richard-Jules De Sousa,boulevard de Gillet,93289,Sainte Philippine,Restaurant
Marché Legendre,Isaac Mace-Andre,"963, avenue de Gosselin",70257,Carre-sur-Breton,Supermarché
L'Atelier Lejeune,Cécile Pereira,"1, rue David",25209,OlivierBourg,Autre
Cadeaux David,Nath-Victoire Laine,"640, boulevard Wagner",10113,Bègue,Souvenirs
Cadeaux Marin,Nicolas Riou,boulevard Noémi Legros,47913,Sainte Éléonore,Souvenirs
Supermarché Fournier,Henri Garnier,"411, avenue de Aubert",24638,Colas,Supermarché
L'Atelier Sucré Toussaint,Roger Bouvet,"61, avenue de Boutin",85537,Saint Sophie-les-Bains,Patisserie
Aux Délices Dias,Claude Marques,"88, chemin Emmanuelle Germain",47522,Pagesboeuf,Patisserie
La Page Raynaud,Roland Morvan-Benoit,"845, avenue Adrien Pages",5391,Durand-sur-Paul,Librairie
TechShop Dufour,Adrien Ribeiro de la Benoit,"5, boulevard de Berthelot",73685,Gauthier,Electronique
Electro Morel,Martine Meyer,"45, chemin Ribeiro",12684,Colas-sur-Mer,Electronique
L'Atelier Peron,Isaac Guillet,"29, chemin de Morel",93927,Weber-sur-Chevalier,Autre
Cadeaux Valette,Jacques Lévêque,"41, boulevard de Dubois",81896,Vincent-la-Forêt,Souvenirs
Boutique Souvenirs Hardy,Hugues Gimenez,"95, rue de Brunet",7789,CohenBourg,Souvenirs
Le Livre Louis,Luce Carlier,"25, boulevard Noémi Girard",70508,Clément,Librairie
Cadeaux Alexandre,Renée de la Ledoux,"48, avenue Manon Masse",25674,Guyon-sur-Hardy,Souvenirs
La Table Hoarau,Auguste Da Costa-Diallo,"29, avenue Briand",46456,Lebrun,Restaurant
Pharmacie Barre,Alexandrie Pires Le Roy,"379, rue Thérèse Rey",25801,Meyer,Pharmacie
Supermarché Boulay,Bertrand Rousset,boulevard Caron,36114,Lemonnier,Supermarché
Chez Masson,Maurice Georges de Rémy,"933, chemin de Lévy",61737,Lemonnier,Autre
Le Kiosque Rocher,Laurent Guillon,"304, chemin Bourgeois",89732,Vincent,Restauration rapide
Boutique Turpin,Arthur Chevallier,"25, chemin Delahaye",49336,GrégoireBourg,Autre
Pâtisserie Gomes,Aurore Lemoine,"178, rue Laporte",39441,Carlier-les-Bains,Patisserie
Cadeaux Moreau,Marthe Monnier,"93, rue Lorraine Boucher",49934,Sainte Maurice,Souvenirs
L'Atelier Fernandes,Nathalie Descamps,"7, boulevard de Toussaint",87332,Guillot-les-Bains,Autre
Épicerie Launay,Thibaut Boulanger du Allard,"92, rue de Dos Santos",39805,Dufournec,Supermarché
Marché Pires,Victor Moreno,"91, rue de Gonzalez",40959,Petitjean,Supermarché
Multimédia Martinez,Olivie Bouchet,"34, rue Payet",23126,Chauvet-sur-Da Costa,Electronique
Supermarché Seguin,Hortense-Hortense Grondin,"6, avenue Lucas",64966,Lelièvre-sur-Mendès,Supermarché
Marché Delahaye,Éléonore Chevallier,"32, rue David",52882,Sainte Antoinette,Supermarché
La Table Louis,François de Schmitt,"875, avenue Lebon",97415,Guyon-sur-Gillet,Restaurant
Snack Fouquet,Nathalie Raymond,"998, rue de Dijoux",14562,Dupont-sur-Mer,Restauration rapide
TechShop Paul,Nicole Guyon-Fournier,"18, chemin Besnard",50411,Pinto,Electronique
Chez Brun,Lucie Raymond,boulevard de Blanchard,59949,RobinBourg,Restaurant
Cadeaux Arnaud,Christiane-Nathalie Pasquier,"30, boulevard Michèle Renaud",58192,Breton,Souvenirs
Restaurant Jacquot,Charles Robin,avenue de Couturier,46187,Neveunec,Restaurant
Supermarché Petitjean,Constance du Dias,"3, boulevard Margaux Gérard",20989,Colin,Supermarché
Le Kiosque Lecoq,Marc Le Gall,"34, rue Renaud",1737,Richard,Restauration rapide
Snack Albert,Zoé Devaux,avenue de Gomez,27702,De Sousanec,Restauration rapide
Restaurant Pichon,Théophile Brunel,boulevard Lopes,79743,GuillaumeVille,Restaurant
Pharmacie Gonzalez,Antoine Guibert,"3, boulevard Marion",38439,Saint Francknec,Pharmacie
Restaurant Colin,Yves Jacquet,"398, boulevard Agnès Da Silva",12886,Breton,Restaurant
L'Atelier Sucré Tessier,Antoinette Thierry,"814, rue Lemonnier",35437,Pasquier-sur-Mer,Patisserie
Épicerie Grenier,Thibault de Nicolas,"517, boulevard Claude Prévost",33638,Ferrand-sur-Monnier,Supermarché
Supermarché Dumont,Zoé Dijoux du Teixeira,"434, rue Laurent",59740,Saint Susannenec,Supermarché
L'Atelier Sucré Pasquier,Jacques Marty,"40, chemin de Adam",9415,Guillou,Patisserie
Pharmacie Dias,Adèle Noël,"75, boulevard de Chauvet",4952,Leclercq,Pharmacie
Boutique Souvenirs Rémy,Valentine Reynaud,rue de Leduc,20742,Regnierboeuf,Souvenirs
Supermarché Pinto,Andrée Dijoux,"958, rue Verdier",87439,François,Supermarché
Espace Gérard,Alexandre-Jean Mallet,"729, boulevard Ferreira",97649,Lacombe,Autre
Douceurs David,Lucas-Benjamin Mahe,"57, boulevard Hernandez",22214,Morel,Patisserie
Cadeaux Merle,Benjamin du Guillou,boulevard Honoré Aubert,43595,Ruizboeuf,Souvenirs
Espace Meunier,Raymond Labbé,"80, boulevard Gabriel Thomas",39145,Fernandez-sur-Le Roux,Autre
Restaurant Bigot,Bernard Dijoux,"50, rue de Lebrun",25297,Baron,Restaurant
Pâtisserie Rossi,Sabine Leconte,rue Hugues Paris,15115,Vaillant-sur-Buisson,Patisserie
Supermarché Henry,Richard Le Dias,"52, rue de Picard",10418,Maillot-sur-Gimenez,Supermarché
Multimédia Hebert,Christophe Leroy,"2, rue Emmanuel Launay",50283,Allain-sur-Lombard,Electronique
Cadeaux Blot,Martine Langlois,"28, boulevard Gilles Morin",89579,Sainte Thierrydan,Souvenirs
Boutique Souvenirs Lelièvre,Frédéric Meunier-Chauvet,"36, chemin de Germain",58599,Saint Christelle,Souvenirs
Marché Marie,Valentine Pinto,"35, rue de Lebon",91915,Sainte FrédériqueBourg,Supermarché
Aux Délices Hernandez,Susan Maréchal-Maury,"49, rue de Leduc",49167,Guillaume,Patisserie
Pharmacie Lemonnier,Philippine-Renée Duhamel,"232, boulevard de Coulon",15706,Barthelemy-sur-Germain,Pharmacie
Le Bistrot Berthelot,Matthieu Schmitt,"21, boulevard de Pires",48435,ImbertVille,Restaurant
Pharmacie Robin,Daniel de Boulay,"97, avenue Laetitia Verdier",57300,Bazin,Pharmacie
L'Encre Prévost,Roland Potier Le Gay,"11, boulevard de Antoine",17972,Bonnet,Librairie
La Table Lemaître,Anastasie Martin-Fischer,"51, rue Lesage",89704,Toussaintboeuf,Restaurant
Pharmacie Mendès,Océane Weber,"832, rue Berthelot",49963,Delattre,Pharmacie
Le Comptoir Brunet,Xavier Marchand de la Dubois,rue de Meunier,92598,DufourBourg,Autre
Cadeaux Dos Santos,Susanne Grenier,"39, boulevard Audrey Courtois",57493,Jean,Souvenirs
Supermarché Lemoine,Adèle Verdier,"58, boulevard Hortense Poulain",5138,Guillet-sur-Fischer,Supermarché
Épicerie Tessier,Stéphane Leduc,"3, boulevard de Hamel",97445,BlondelBourg,Supermarché
Marché Barbe,Aurore Moulin du Lombard,"9, chemin de Raymond",7451,MerleVille,Supermarché
Express Lelièvre,Sylvie Baudry,"66, chemin Jacques Da Silva",88711,Petitjean,Restauration rapide
Marché Thibault,Antoine-Thomas Reynaud,"19, chemin de Gallet",79127,Vallée,Supermarché
Douceurs Perez,Philippe Garnier,"52, chemin Alexandre Traore",15718,Maury,Patisserie
Le Bistrot Rousset,Vincent Cohen,"44, rue Susanne Evrard",5451,Saint Jeannine-les-Bains,Restaurant
Restaurant Costa,Nathalie Gomez,"42, chemin de Vincent",82370,Saint Jacquesdan,Restaurant
Express Alexandre,Madeleine Ollivier,"736, chemin William Laporte",55112,Pons,Restauration rapide
Chez Weber,Alice Pereira,"56, chemin René Perrin",32770,Michaud-sur-Pinto,Restaurant
Multimédia Leleu,Yves Pruvost-Pires,"652, rue de Maillet",2951,Saint AntoinetteBourg,Electronique
L'Atelier Hardy,Zacharie Cohen,"54, rue Laurent",79194,Saint Joséphine,Autre
Pharmacie Diaz,Charles Fernandez,"36, rue Fleury",37578,Sainte Robertnec,Pharmacie
Le Livre Jacquot,Joséphine Renard,rue Alex Chevallier,42161,Aubry,Librairie
Le Livre Colin,Antoinette Marin,"862, rue Gimenez",97365,Bonneau,Librairie
L'Atelier Weiss,Matthieu Auger,"1, rue Masse",93356,Moreaudan,Autre
Le Bistrot Gérard,Alfred Chartier,"62, boulevard Adrien Buisson",90889,Martelnec,Restaurant
Le Livre Antoine,Richard Jean,avenue Gérard Duhamel,68467,Normand,Librairie
Boutique Souvenirs Bailly,Andrée Lefort,"6, chemin de Faure",58878,Jourdan,Souvenirs
Restaurant Renaud,Robert Fournier,"74, chemin Coulon",11747,Guyon-sur-Mer,Restaurant
Express Joly,Étienne Laurent,"737, boulevard Weiss",39611,LebretonVille,Restauration rapide
Express Da Silva,Andrée Marques,"7, rue Guibert",85635,Potier-les-Bains,Restauration rapide
Pharmacie Traore,Hortense-Arnaude Da Silva,"17, boulevard Benjamin Berger",89764,Garcia,Pharmacie
La Page Giraud,Honoré Pereira,"229, rue Mahe",76918,Vasseur-sur-Andre,Librairie
Souvenirs Renaud,Maggie Gallet,"25, boulevard de Morvan",18429,Salmon,Souvenirs
Le Livre Lambert,Diane-Margaret Andre,rue Olivie Legros,21813,Lenoir,Librairie
Librairie Gaillard,Jacqueline Blin,rue Lefort,78485,Durand,Librairie
Supermarché Coulon,Adrien Robert,"5, avenue Marine Marchand",26246,Barbe,Supermarché
Souvenirs Lebreton,Isabelle Roger,"3, avenue de Raymond",12742,Lévêque,Souvenirs
Le Comptoir Humbert,Roger Huet,"9, boulevard Étienne",97279,Vasseurdan,Autre
Le Comptoir Pires,Guillaume de Leclercq,avenue Mahe,22263,Saint Madeleine,Autre
Le Kiosque Marchal,François Gay Le Daniel,"20, rue de Tanguy",22261,Sainte Denise,Restauration rapide
Le Bistrot Ferreira,Georges Mace,"795, chemin Rolland",97424,Dumas,Restaurant
Aux Délices Perrin,Lucas Bourgeois-Mallet,"8, avenue de Vincent",55248,Bourdon,Patisserie
Digital De Sousa,Léon Besson,"63, rue Xavier Rodriguez",5808,Lopez-sur-Guyot,Electronique
Electro Dufour,Nicolas Albert,"45, boulevard Hugues Diaz",78274,Lenoir-sur-Rolland,Electronique
Le Bistrot Fernandez,Victoire Fabre,"57, avenue Guyon",31353,Gay,Restaurant
Épicerie Delorme,Théodore Gérard-Baudry,rue Augustin Lelièvre,93887,Fontainenec,Supermarché
Digital Laporte,Valentine Grenier,avenue Olivier Perez,71871,Sainte Martin,Electronique
Épicerie Payet,Lucie Dupuis,"1, chemin Isaac Fischer",58978,Letellier-sur-Guillon,Supermarché
Boutique Souvenirs Laurent,Susan Leleu,"62, avenue de Fischer",81101,Sainte Marieboeuf,Souvenirs
Cadeaux Laporte,William Launay,"489, rue de Legendre",42853,Sainte Bernard,Souvenirs
Chez Masson,Mathilde Turpin,"6, rue Madeleine Vaillant",90168,Lacombe-sur-Mer,Autre
Cadeaux Dos Santos,Isabelle Gimenez,avenue de Gallet,97184,Chrétien,Souvenirs
Pharmacie Vallet,Isaac Benard-Da Costa,"14, chemin Barre",57597,LaineBourg,Pharmacie
Le Livre Lelièvre,Luce Sauvage-Legendre,"4, rue Édouard Michaud",22395,Saint Jacques-la-Forêt,Librairie
Le Kiosque Marie,Paul Fernandes,"704, boulevard de Payet",60455,HebertVille,Restauration rapide
La Table Klein,Arthur de Grondin,"66, chemin de Vallée",75781,Lévydan,Restaurant
Marché Albert,Roland Payet Le Picard,"67, rue William Benard",36566,Maurice,Supermarché
